# All functions Ghidra discovered.
# entry                section     size    name
0x000000018009d340  .text            1  FUN_18009d340
0x000000018009d3c0  .text            1  FUN_18009d3c0
0x000000018009d550  .text            1  FUN_18009d550
0x000000018009d5d0  .text            1  FUN_18009d5d0
0x000000018009d7f0  .text            1  FUN_18009d7f0
0x000000018009d940  .text            1  FUN_18009d940
0x000000018009d980  .text            1  FUN_18009d980
0x000000018009dcb0  .text            1  FUN_18009dcb0
0x000000018009dce0  .text            1  FUN_18009dce0
0x000000018009dd10  .text            1  FUN_18009dd10
0x000000018009dd40  .text            1  FUN_18009dd40
0x000000018009dd70  .text            1  FUN_18009dd70
0x000000018009dda0  .text            1  FUN_18009dda0
0x000000018009ddc1  .text            1  FUN_18009ddc1
0x000000018009de5b  .text            1  FUN_18009de5b
0x000000018009de70  .text            1  FUN_18009de70
0x000000018009de7f  .text            1  FUN_18009de7f
0x000000018009deed  .text            1  FUN_18009deed
0x000000018009deee  .text            1  FUN_18009deee
0x000000018009df00  .text            1  FUN_18009df00
0x000000018009df12  .text            1  FUN_18009df12
0x000000018009df70  .text            1  FUN_18009df70
0x000000018009df80  .text            1  FUN_18009df80
0x000000018009df8e  .text            1  FUN_18009df8e
0x000000018009e006  .text            1  FUN_18009e006
0x000000018009e007  .text            1  FUN_18009e007
0x000000018009e010  .text            1  FUN_18009e010
0x000000018009e220  .text            1  FUN_18009e220
0x000000018009e480  .text            1  FUN_18009e480
0x000000018009e550  .text            1  FUN_18009e550
0x000000018009e640  .text            1  FUN_18009e640
0x000000018009e65b  .text            1  FUN_18009e65b
0x000000018009e6c4  .text            1  FUN_18009e6c4
0x000000018009e6cf  .text            1  FUN_18009e6cf
0x000000018009e6e0  .text            1  FUN_18009e6e0
0x000000018009e6fb  .text            1  FUN_18009e6fb
0x000000018009e764  .text            1  FUN_18009e764
0x000000018009e76f  .text            1  FUN_18009e76f
0x000000018009e780  .text            1  FUN_18009e780
0x000000018009e850  .text            1  FUN_18009e850
0x000000018009e920  .text            1  FUN_18009e920
0x000000018009e937  .text            1  FUN_18009e937
0x000000018009e947  .text            1  FUN_18009e947
0x000000018009e9dd  .text            1  FUN_18009e9dd
0x000000018009ea41  .text            1  FUN_18009ea41
0x000000018009eb10  .text            1  FUN_18009eb10
0x000000018009ebb0  .text            1  FUN_18009ebb0
0x000000018009ed30  .text            1  FUN_18009ed30
0x000000018009ed62  .text            1  FUN_18009ed62
0x000000018009ee8a  .text            1  FUN_18009ee8a
0x000000018009ee90  .text            1  FUN_18009ee90
0x000000018009eea0  .text            1  FUN_18009eea0
0x000000018009eece  .text            1  FUN_18009eece
0x000000018009f054  .text            1  FUN_18009f054
0x000000018009f05a  .text            1  FUN_18009f05a
0x000000018009f060  .text            1  FUN_18009f060
0x000000018009f08e  .text            1  FUN_18009f08e
0x000000018009f1db  .text            1  FUN_18009f1db
0x000000018009f1e1  .text            1  FUN_18009f1e1
0x000000018009f1f0  .text            1  FUN_18009f1f0
0x000000018009f21e  .text            1  FUN_18009f21e
0x000000018009f38f  .text            1  FUN_18009f38f
0x000000018009f395  .text            1  FUN_18009f395
0x000000018009f3a0  .text            1  FUN_18009f3a0
0x000000018009f790  .text            1  FUN_18009f790
